TMDB ID,IMDB ID,TITLE,YEAR,GENRE,RATING,RELEASED,ACTORS,AWARDS,COUNTRY,LANGUAGE,BOX OFFICE,ADJ. BOX OFFICE
10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"Comedy, Crime",6.6,12 Jan 1996,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer",1 nomination.,USA,"English, Spanish",39255889.0,74870394.0
19760,tt0118002,Two If by Sea,1996,"Comedy, Crime, Romance",5.2,12 Jan 1996,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",,USA,English,10700000.0,20407466.0
9536,tt0115683,Bio-Dome,1996,Comedy,4.4,12 Jan 1996,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",1 win & 1 nomination.,USA,English,26757000.0,51032015.0
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,"Action, Sci-Fi, Thriller",2.4,12 Jan 1996,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget",1 nomination.,USA,English,2409225.0,4594969.0
40628,tt0114753,Two Bits,1995,Drama,6.3,22 Nov 1995,"Jerry Barone, Mary Elizabeth Mastrantonio, Al Pacino, Patrick Borriello",2 nominations.,USA,English,,
10634,tt0113118,Friday,1995,"Comedy, Drama",7.3,26 Apr 1995,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister",1 win & 5 nominations.,USA,English,27900000.0,54068275.0
755,tt0116367,From Dusk Till Dawn,1996,"Action, Crime, Horror",7.3,19 Jan 1996,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis",4 wins & 9 nominations.,USA,"English, Spanish",25753840.0,49118749.0
11859,tt0113010,Fair Game,1995,"Action, Crime, Romance",4.1,03 Nov 1995,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald",4 nominations.,USA,"English, Russian",11534477.0,22353020.0
28387,tt0113537,Kicking and Screaming,1995,"Comedy, Drama, Romance",7.0,06 Oct 1995,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach",1 nomination.,USA,English,704543.0,1365355.0
20927,tt0115644,Bed of Roses,1996,"Romance, Drama",6.1,26 Jan 1996,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin",,USA,English,37905900.0,72295641.0
36929,tt0115676,Big Bully,1996,"Comedy, Thriller",4.5,26 Jan 1996,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane",3 wins.,USA,English,4085000.0,7791074.0
9102,tt0114367,Screamers,1995,"Sci-Fi, Thriller",6.4,26 Jan 1996,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer",3 nominations.,"Canada, USA, Japan",English,5781885.0,11204894.0
124626,tt0113973,Nico Icon,1995,"Documentary, Biography, Music",7.3,16 Nov 1995,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne",4 wins.,"Germany, USA","English, German",209951.0,406870.0
27526,tt0112744,The Crossing Guard,1995,"Drama, Thriller",6.3,16 Nov 1995,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",Nominated for 1 Golden Globe. Another 3 nominations.,USA,English,832910.0,1614122.0
9623,tt0116731,The Juror,1996,"Drama, Thriller",5.6,02 Feb 1996,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche",1 win & 2 nominations.,USA,English,44834712.0,85510548.0
400,tt0114660,Things to Do in Denver When You're Dead,1995,"Crime, Drama",6.8,01 Dec 1995,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",2 wins.,USA,English,529766.0,1026649.0
146599,tt0114039,Once Upon a Time... When We Were Colored,1995,"Drama, Romance",7.2,26 Jan 1996,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",2 wins & 2 nominations.,USA,English,3375000.0,6540517.0
188588,tt0113612,Last Summer in the Hamptons,1995,"Comedy, Drama",6.1,15 Sep 1996,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher",1 nomination.,USA,English,402091.0,779224.0
8447,tt0112365,Angels and Insects,1995,"Drama, Romance",7.0,26 Jan 1996,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"UK, USA",English,5304000.0,10278786.0
10534,tt0118158,White Squall,1996,"Adventure, Drama",6.6,02 Feb 1996,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",1 nomination.,"USA, UK","English, Danish, Spanish",10300000.0,19644570.0
17414,tt0116151,Dunston Checks In,1996,"Comedy, Adventure, Family",5.3,12 Jan 1996,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",4 nominations.,USA,"English, French",18838000.0,35928583.0
13997,tt0115697,Black Sheep,1996,Comedy,6.2,02 Feb 1996,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",,USA,English,32377000.0,61750703.0
2086,tt0113972,Nick of Time,1995,"Action, Crime, Drama",6.3,22 Nov 1995,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken",,USA,English,8169363.0,15831662.0
61548,tt0113490,The Journey of August King,1995,Drama,6.6,26 Jan 1996,"Jason Patric, Thandie Newton, Larry Drake, Sam Waterston",,USA,English,,
9095,tt0117002,Mary Reilly,1996,"Drama, Horror, Romance",5.8,23 Feb 1996,"Julia Roberts, John Malkovich, George Cole, Michael Gambon",6 nominations.,"USA, UK",English,5600000.0,10680542.0
12158,tt0114825,Vampire in Brooklyn,1995,"Comedy, Fantasy, Horror",4.5,27 Oct 1995,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",,USA,English,19900000.0,38564827.0
9283,tt0115639,Beautiful Girls,1996,"Comedy, Drama, Romance",7.2,09 Feb 1996,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",1 win & 3 nominations.,USA,English,20837000.0,39741156.0
9208,tt0115759,Broken Arrow,1996,"Action, Crime, Thriller",6.0,09 Feb 1996,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",1 win & 3 nominations.,USA,English,70450000.0,134365045.0
63076,tt0113283,Heidi Fleiss: Hollywood Madam,1995,"Documentary, Biography",6.6,09 Feb 1996,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer",1 nomination.,"UK, Germany, USA, Canada",English,,
11062,tt0115907,City Hall,1996,Drama,6.2,16 Feb 1996,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",1 nomination.,USA,English,20300000.0,38716968.0
13685,tt0115734,Bottle Rocket,1996,"Comedy, Crime, Drama",7.1,21 Feb 1996,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",2 wins.,USA,"English, Spanish",1040879.0,1985205.0
47475,tt0117102,Mr. Wrong,1996,Comedy,3.8,16 Feb 1996,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell",2 nominations.,USA,English,12350030.0,23554468.0
2045,tt0118040,Unforgettable,1996,"Drama, Mystery, Sci-Fi",6.0,23 Feb 1996,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald",1 win.,USA,"English, Spanish",2780278.0,5302656.0
9614,tt0116483,Happy Gilmore,1996,"Comedy, Family, Sport",7.0,16 Feb 1996,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",1 win & 4 nominations.,USA,English,38624000.0,73665230.0
688,tt0112579,The Bridges of Madison County,1995,"Drama, Romance",7.5,02 Jun 1995,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",Nominated for 1 Oscar. Another 6 wins & 14 nominations.,USA,English,70960517.0,137516588.0
10874,tt0117110,Muppet Treasure Island,1996,"Action, Adventure, Comedy",6.9,16 Feb 1996,"Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop",4 nominations.,USA,English,33609000.0,64100423.0
89333,tt0112646,Catwalk,1995,Documentary,6.5,16 May 1996,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann",,USA,English,,
96357,tt0113276,Headless Body in Topless Bar,1995,"Comedy, Crime, Drama",4.7,16 Feb 1996,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald, Taylor Nichols",,USA,English,,
197,tt0112573,Braveheart,1995,"Biography, Drama, History",8.4,24 May 1995,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",Won 5 Oscars. Another 26 wins & 29 nominations.,USA,"English, French, Latin, Scottish Gaelic",75600000.0,146507586.0
43566,tt0115645,Before and After,1996,"Crime, Drama, Mystery",6.1,23 Feb 1996,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon",,USA,English,17292000.0,32979990.0
51352,tt0112373,Anne Frank Remembered,1995,"Documentary, Biography, War",8.1,08 Jun 1995,"Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema",Won 1 Oscar. Another 8 wins & 5 nominations.,"UK, USA, Netherlands",English,1310200.0,2539077.0
10324,tt0116606,If Lucy Fell,1996,"Comedy, Romance",4.9,08 Mar 1996,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson",,USA,English,4635344.0,8840712.0
78406,tt0114536,Steal Big Steal Little,1995,Comedy,4.8,29 Sep 1995,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano",,USA,English,6278139.0,12166600.0
55731,tt0117427,Race the Sun,1996,"Adventure, Comedy, Drama",5.3,22 Mar 1996,"Halle Berry, Jim Belushi, Bill Hunter, Casey Affleck",,USA,"English, Hawaiian, Russian",1700000.0,3242307.0
11066,tt0103859,Boomerang,1992,"Comedy, Drama, Romance",5.4,01 Jul 1992,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",1 win & 4 nominations.,USA,"English, French",70100000.0,142395903.0
2074,tt0116324,Flirting with Disaster,1996,Comedy,6.8,12 Apr 1996,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore",1 win & 10 nominations.,USA,English,14891000.0,28400708.0
27793,tt0110647,The Neverending Story III,1994,"Adventure, Comedy, Family",3.1,27 Oct 1994,"Jason James Richter, Melody Kay, Jack Black, Carole Finn",1 nomination.,"Germany, USA",English,,
290157,tt0110217,Jupiter's Wife,1995,"Documentary, Biography, Mystery",7.2,08 Sep 1995,"Maggie Cogan, Katina Pendleton",3 wins & 1 nomination.,USA,English,,
110972,tt0114131,Pie in the Sky,1996,"Comedy, Romance",5.8,09 Feb 1996,"Josh Charles, Anne Heche, John Goodman, Christine Lahti",,USA,English,,
32622,tt0112364,Angela,1995,Drama,6.5,01 Jan 1995,"Miranda Rhyne, Charlotte Eve Blythe, Anna Levine, John Ventimiglia",4 wins & 1 nomination.,USA,English,,
73067,tt0113107,Frankie Starlight,1995,"Drama, Romance, War",6.7,22 Nov 1995,"Corban Walker, Niall Toibin, Owen Roe, Gabriel Byrne",,"France, UK, Ireland, USA",English,78168.0,151484.0
11863,tt0113451,Jade,1995,"Crime, Drama, Thriller",5.2,13 Oct 1995,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna",2 nominations.,USA,English,9795017.0,18982067.0
124636,tt0114500,Sonic Outlaws,1995,Documentary,7.3,01 Aug 1995,"Lloyd Dunn, Chris Grigg, Mark Hosler, Don Joyce",1 win.,USA,English,,
9101,tt0116130,Down Periscope,1996,Comedy,6.0,01 Mar 1996,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",,USA,English,25800000.0,49206787.0
123360,tt0113125,From the Journals of Jean Seberg,1995,"Documentary, Biography",7.1,01 Mar 1996,"Mary Beth Hurt, Jean Seberg",2 wins & 1 nomination.,USA,English,,
5757,tt0113756,Man of the Year,1995,"Comedy, Romance",6.1,15 Mar 1996,"Vivian Paxton, Claudette Sutherland, Michael Ornstein, Cal Bartlett",,"USA, UK","English, Yiddish",209935.0,406839.0
9302,tt0118055,Up Close & Personal,1996,"Drama, Romance",6.1,01 Mar 1996,"Robert Redford, Michelle Pfeiffer, Stockard Channing, Joe Mantegna",Nominated for 1 Oscar. Another 3 wins & 2 nominations.,USA,English,51045801.0,97356584.0
11000,tt0115685,The Birdcage,1996,Comedy,7.0,08 Mar 1996,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,USA,English,123986682.0,236472336.0
249882,tt0113200,Gospa,1995,Drama,5.1,13 Oct 1995,"Martin Sheen, Michael York, Morgan Fairchild, Paul Guilfoyle",1 win.,"Croatia, Canada, USA","Serbo-Croatian, Croatian, English",381804.0,739909.0
16388,tt0112585,The Brothers McMullen,1995,"Comedy, Drama, Romance",6.6,09 Aug 1995,"Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton",4 wins & 1 nomination.,USA,English,10246600.0,19857204.0
9737,tt0112442,Bad Boys,1995,"Action, Comedy, Crime",6.8,07 Apr 1995,"Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro",1 win & 3 nominations.,USA,English,65807024.0,127529474.0
30765,tt0112342,The Amazing Panda Adventure,1995,"Family, Adventure, Drama",5.8,25 Aug 1995,"Stephen Lang, Ryan Slater, Yi Ding, Wang Fei",3 nominations.,USA,English,7506759.0,14547581.0
10474,tt0112461,The Basketball Diaries,1995,"Biography, Crime, Drama",7.3,21 Apr 1995,"Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol, James Madio",,USA,English,2424439.0,4698395.0
30157,tt0109093,Amateur,1994,"Comedy, Crime, Drama",7.0,19 May 1995,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young",1 win & 2 nominations.,"USA, UK, France",English,856422.0,1727185.0
568,tt0112384,Apollo 13,1995,"Adventure, Drama, History",7.6,30 Jun 1995,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Won 2 Oscars. Another 24 wins & 49 nominations.,USA,English,172071312.0,333462335.0
11780,tt0114287,Rob Roy,1995,"Adventure, Biography, History",6.9,14 Apr 1995,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"USA, UK",English,31600000.0,61238620.0
34996,tt0112288,The Addiction,1995,Horror,6.4,06 Oct 1995,"Lili Taylor, Christopher Walken, Annabella Sciorra, Edie Falco",5 wins & 4 nominations.,"USA, Argentina",English,302393.0,586016.0
414,tt0112462,Batman Forever,1995,"Action, Adventure, Fantasy",5.4,16 Jun 1995,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",Nominated for 3 Oscars. Another 9 wins & 21 nominations.,USA,English,184031112.0,356639603.0
1873,tt0112495,Beyond Rangoon,1995,"Action, Drama",6.6,25 Aug 1995,"Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray",2 wins & 3 nominations.,"UK, USA",English,5750110.0,11143316.0
