TMDB ID,IMDB ID,TITLE,RELEASED,YEAR,GENRE,RATING,ACTORS,AWARDS,COUNTRY,LANGUAGE,BOX OFFICE
9263,tt0114011,Now and Then,20 Oct 1995,1995,"Comedy, Drama, Romance",6.8,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",1 nomination.,USA,English,27400000.0
17015,tt0114117,Persuasion,27 Sep 1995,1995,"Drama, Romance",7.7,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",7 wins & 2 nominations.,"UK, USA, France",English,5462325.0
9909,tt0112792,Dangerous Minds,11 Aug 1995,1995,"Biography, Drama",6.4,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",5 wins & 6 nominations.,USA,English,84919401.0
63,tt0114746,Twelve Monkeys,05 Jan 1996,1995,"Mystery, Sci-Fi, Thriller",8.0,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Nominated for 2 Oscars. Another 9 wins & 18 nominations.,USA,"English, French",56882000.0
78802,tt0114952,Wings of Courage,18 Sep 1996,1995,"Adventure, Romance",6.5,"Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer",,"USA, France",English,15052.0
9598,tt0112431,Babe,04 Aug 1995,1995,"Comedy, Drama, Family",6.8,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Won 1 Oscar. Another 18 wins & 24 nominations.,"Australia, USA",English,66600000.0
687,tt0112818,Dead Man Walking,02 Feb 1996,1995,"Crime, Drama",7.6,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",Won 1 Oscar. Another 20 wins & 19 nominations.,"UK, USA",English,39025000.0
139405,tt0112286,Across the Sea of Time,20 Oct 1995,1995,"Adventure, Drama, Family",6.4,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach",,USA,"English, Russian",15981095.0
33689,tt0113442,It Takes Two,17 Nov 1995,1995,"Comedy, Family, Romance",5.7,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",1 win & 3 nominations.,USA,English,19474589.0
9603,tt0112697,Clueless,19 Jul 1995,1995,"Comedy, Romance",6.8,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",6 wins & 11 nominations.,USA,"English, Spanish",56631572.0
34615,tt0112749,"Cry, the Beloved Country",15 Dec 1995,1995,"Drama, Thriller",6.9,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",1 win & 4 nominations.,"South Africa, USA",English,676525.0
31174,tt0114279,Richard III,29 Dec 1995,1995,"Drama, War",7.5,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.",Nominated for 2 Oscars. Another 7 wins & 10 nominations.,"UK, USA",English,2600000.0
11443,tt0112819,Dead Presidents,06 Oct 1995,1995,"Action, Crime, Drama",6.8,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",2 nominations.,USA,English,24200000.0
35196,tt0114272,Restoration,02 Feb 1996,1995,"Biography, Drama, History",6.7,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",Won 2 Oscars. Another 2 nominations.,"USA, UK","English, Latin",4100000.0
9312,tt0113855,Mortal Kombat,18 Aug 1995,1995,"Action, Adventure, Fantasy",5.8,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",1 win & 3 nominations.,USA,English,70360285.0
577,tt0114681,To Die For,06 Oct 1995,1995,"Comedy, Crime, Drama",6.8,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",Won 1 Golden Globe. Another 6 wins & 12 nominations.,"USA, UK, Canada",English,21200000.0
11861,tt0113347,How to Make an American Quilt,06 Oct 1995,1995,"Comedy, Drama, Romance",6.2,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",4 nominations.,USA,English,23574130.0
807,tt0114369,Se7en,22 Sep 1995,1995,"Crime, Drama, Mystery",8.6,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa",Nominated for 1 Oscar. Another 25 wins & 34 nominations.,USA,English,100125340.0
10530,tt0114148,Pocahontas,23 Jun 1995,1995,"Animation, Adventure, Drama",6.7,"Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers",Won 2 Oscars. Another 13 wins & 6 nominations.,USA,"English, Algonquin",141600000.0
629,tt0114814,The Usual Suspects,15 Sep 1995,1995,"Crime, Drama, Mystery",8.6,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Won 2 Oscars. Another 32 wins & 16 nominations.,"USA, Germany","English, Hungarian, Spanish, French",23272306.0
117164,tt0109950,Guardian Angel,22 Nov 1994,1994,"Action, Drama, Thriller",4.8,"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague",,USA,English,252009.0
11448,tt0113819,Mighty Aphrodite,10 Nov 1995,1995,"Comedy, Fantasy, Romance",7.1,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",Won 1 Oscar. Another 11 wins & 11 nominations.,USA,"English, Latin",6700000.0
26441,tt0112499,The Big Green,29 Sep 1995,1995,"Comedy, Family, Sport",5.5,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",,USA,English,17725500.0
97406,tt0113158,Georgia,08 Dec 1995,1995,"Drama, Music",6.5,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich",Nominated for 1 Oscar. Another 4 wins & 6 nominations.,"USA, France","English, Hebrew",2907768.0
124057,tt0113541,Kids of the Round Table,15 Dec 1995,1995,"Adventure, Comedy, Family",5.0,"Johnny Morina, Maggie Castle, Christopher Olscamp, Justin Borntraeger",2 nominations.,"USA, Canada",English,
9089,tt0113321,Home for the Holidays,03 Nov 1995,1995,"Comedy, Drama, Romance",6.6,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",2 nominations.,USA,English,17518220.0
11359,tt0113419,The Indian in the Cupboard,14 Jul 1995,1995,"Drama, Family, Fantasy",5.9,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",1 win & 6 nominations.,USA,English,35617599.0
17182,tt0116260,Eye for an Eye,12 Jan 1996,1996,"Crime, Drama, Thriller",6.1,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",,USA,"English, French, Spanish, Korean",53146000.0
2054,tt0113862,Mr. Holland's Opus,19 Jan 1996,1995,"Drama, Music",7.3,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",Nominated for 1 Oscar. Another 5 wins & 4 nominations.,USA,"English, American Sign Language",82528097.0
10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,12 Jan 1996,1996,"Comedy, Crime",6.6,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer",1 nomination.,USA,"English, Spanish",39255889.0
19760,tt0118002,Two If by Sea,12 Jan 1996,1996,"Comedy, Crime, Romance",5.2,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",,USA,English,10700000.0
9536,tt0115683,Bio-Dome,12 Jan 1996,1996,Comedy,4.4,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",1 win & 1 nomination.,USA,English,26757000.0
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,12 Jan 1996,1996,"Action, Sci-Fi, Thriller",2.4,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget",1 nomination.,USA,English,2409225.0
40628,tt0114753,Two Bits,22 Nov 1995,1995,Drama,6.3,"Jerry Barone, Mary Elizabeth Mastrantonio, Al Pacino, Patrick Borriello",2 nominations.,USA,English,
10634,tt0113118,Friday,26 Apr 1995,1995,"Comedy, Drama",7.3,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister",1 win & 5 nominations.,USA,English,27900000.0
755,tt0116367,From Dusk Till Dawn,19 Jan 1996,1996,"Action, Crime, Horror",7.3,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis",4 wins & 9 nominations.,USA,"English, Spanish",25753840.0
11859,tt0113010,Fair Game,03 Nov 1995,1995,"Action, Crime, Romance",4.1,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald",4 nominations.,USA,"English, Russian",11534477.0
28387,tt0113537,Kicking and Screaming,06 Oct 1995,1995,"Comedy, Drama, Romance",7.0,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach",1 nomination.,USA,English,704543.0
20927,tt0115644,Bed of Roses,26 Jan 1996,1996,"Romance, Drama",6.1,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin",,USA,English,37905900.0
36929,tt0115676,Big Bully,26 Jan 1996,1996,"Comedy, Thriller",4.5,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane",3 wins.,USA,English,4085000.0
9102,tt0114367,Screamers,26 Jan 1996,1995,"Sci-Fi, Thriller",6.4,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer",3 nominations.,"Canada, USA, Japan",English,5781885.0
124626,tt0113973,Nico Icon,16 Nov 1995,1995,"Documentary, Biography, Music",7.3,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne",4 wins.,"Germany, USA","English, German",209951.0
27526,tt0112744,The Crossing Guard,16 Nov 1995,1995,"Drama, Thriller",6.3,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",Nominated for 1 Golden Globe. Another 3 nominations.,USA,English,832910.0
9623,tt0116731,The Juror,02 Feb 1996,1996,"Drama, Thriller",5.6,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche",1 win & 2 nominations.,USA,English,44834712.0
400,tt0114660,Things to Do in Denver When You're Dead,01 Dec 1995,1995,"Crime, Drama",6.8,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",2 wins.,USA,English,529766.0
146599,tt0114039,Once Upon a Time... When We Were Colored,26 Jan 1996,1995,"Drama, Romance",7.2,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",2 wins & 2 nominations.,USA,English,3375000.0
188588,tt0113612,Last Summer in the Hamptons,15 Sep 1996,1995,"Comedy, Drama",6.1,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher",1 nomination.,USA,English,402091.0
8447,tt0112365,Angels and Insects,26 Jan 1996,1995,"Drama, Romance",7.0,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"UK, USA",English,5304000.0
10534,tt0118158,White Squall,02 Feb 1996,1996,"Adventure, Drama",6.6,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",1 nomination.,"USA, UK","English, Danish, Spanish",10300000.0
17414,tt0116151,Dunston Checks In,12 Jan 1996,1996,"Comedy, Adventure, Family",5.3,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",4 nominations.,USA,"English, French",18838000.0
13997,tt0115697,Black Sheep,02 Feb 1996,1996,Comedy,6.2,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",,USA,English,32377000.0
2086,tt0113972,Nick of Time,22 Nov 1995,1995,"Action, Crime, Drama",6.3,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken",,USA,English,8169363.0
61548,tt0113490,The Journey of August King,26 Jan 1996,1995,Drama,6.6,"Jason Patric, Thandie Newton, Larry Drake, Sam Waterston",,USA,English,
9095,tt0117002,Mary Reilly,23 Feb 1996,1996,"Drama, Horror, Romance",5.8,"Julia Roberts, John Malkovich, George Cole, Michael Gambon",6 nominations.,"USA, UK",English,5600000.0
12158,tt0114825,Vampire in Brooklyn,27 Oct 1995,1995,"Comedy, Fantasy, Horror",4.5,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",,USA,English,19900000.0
9283,tt0115639,Beautiful Girls,09 Feb 1996,1996,"Comedy, Drama, Romance",7.2,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",1 win & 3 nominations.,USA,English,20837000.0
9208,tt0115759,Broken Arrow,09 Feb 1996,1996,"Action, Crime, Thriller",6.0,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",1 win & 3 nominations.,USA,English,70450000.0
63076,tt0113283,Heidi Fleiss: Hollywood Madam,09 Feb 1996,1995,"Documentary, Biography",6.6,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer",1 nomination.,"UK, Germany, USA, Canada",English,
11062,tt0115907,City Hall,16 Feb 1996,1996,Drama,6.2,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",1 nomination.,USA,English,20300000.0
13685,tt0115734,Bottle Rocket,21 Feb 1996,1996,"Comedy, Crime, Drama",7.1,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",2 wins.,USA,"English, Spanish",1040879.0
47475,tt0117102,Mr. Wrong,16 Feb 1996,1996,Comedy,3.8,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell",2 nominations.,USA,English,12350030.0
2045,tt0118040,Unforgettable,23 Feb 1996,1996,"Drama, Mystery, Sci-Fi",6.0,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald",1 win.,USA,"English, Spanish",2780278.0
9614,tt0116483,Happy Gilmore,16 Feb 1996,1996,"Comedy, Family, Sport",7.0,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",1 win & 4 nominations.,USA,English,38624000.0
688,tt0112579,The Bridges of Madison County,02 Jun 1995,1995,"Drama, Romance",7.5,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",Nominated for 1 Oscar. Another 6 wins & 14 nominations.,USA,English,70960517.0
10874,tt0117110,Muppet Treasure Island,16 Feb 1996,1996,"Action, Adventure, Comedy",6.9,"Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop",4 nominations.,USA,English,33609000.0
89333,tt0112646,Catwalk,16 May 1996,1995,Documentary,6.5,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann",,USA,English,
96357,tt0113276,Headless Body in Topless Bar,16 Feb 1996,1995,"Comedy, Crime, Drama",4.7,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald, Taylor Nichols",,USA,English,
197,tt0112573,Braveheart,24 May 1995,1995,"Biography, Drama, History",8.4,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",Won 5 Oscars. Another 26 wins & 29 nominations.,USA,"English, French, Latin, Scottish Gaelic",75600000.0
43566,tt0115645,Before and After,23 Feb 1996,1996,"Crime, Drama, Mystery",6.1,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon",,USA,English,17292000.0
51352,tt0112373,Anne Frank Remembered,08 Jun 1995,1995,"Documentary, Biography, War",8.1,"Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema",Won 1 Oscar. Another 8 wins & 5 nominations.,"UK, USA, Netherlands",English,1310200.0
10324,tt0116606,If Lucy Fell,08 Mar 1996,1996,"Comedy, Romance",4.9,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson",,USA,English,4635344.0
78406,tt0114536,Steal Big Steal Little,29 Sep 1995,1995,Comedy,4.8,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano",,USA,English,6278139.0
55731,tt0117427,Race the Sun,22 Mar 1996,1996,"Adventure, Comedy, Drama",5.3,"Halle Berry, Jim Belushi, Bill Hunter, Casey Affleck",,USA,"English, Hawaiian, Russian",1700000.0
11066,tt0103859,Boomerang,01 Jul 1992,1992,"Comedy, Drama, Romance",5.4,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",1 win & 4 nominations.,USA,"English, French",70100000.0
2074,tt0116324,Flirting with Disaster,12 Apr 1996,1996,Comedy,6.8,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore",1 win & 10 nominations.,USA,English,14891000.0
27793,tt0110647,The Neverending Story III,27 Oct 1994,1994,"Adventure, Comedy, Family",3.1,"Jason James Richter, Melody Kay, Jack Black, Carole Finn",1 nomination.,"Germany, USA",English,
290157,tt0110217,Jupiter's Wife,08 Sep 1995,1995,"Documentary, Biography, Mystery",7.2,"Maggie Cogan, Katina Pendleton",3 wins & 1 nomination.,USA,English,
110972,tt0114131,Pie in the Sky,09 Feb 1996,1996,"Comedy, Romance",5.8,"Josh Charles, Anne Heche, John Goodman, Christine Lahti",,USA,English,
32622,tt0112364,Angela,01 Jan 1995,1995,Drama,6.5,"Miranda Rhyne, Charlotte Eve Blythe, Anna Levine, John Ventimiglia",4 wins & 1 nomination.,USA,English,
73067,tt0113107,Frankie Starlight,22 Nov 1995,1995,"Drama, Romance, War",6.7,"Corban Walker, Niall Toibin, Owen Roe, Gabriel Byrne",,"France, UK, Ireland, USA",English,78168.0
11863,tt0113451,Jade,13 Oct 1995,1995,"Crime, Drama, Thriller",5.2,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna",2 nominations.,USA,English,9795017.0
124636,tt0114500,Sonic Outlaws,01 Aug 1995,1995,Documentary,7.3,"Lloyd Dunn, Chris Grigg, Mark Hosler, Don Joyce",1 win.,USA,English,
9101,tt0116130,Down Periscope,01 Mar 1996,1996,Comedy,6.0,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",,USA,English,25800000.0
123360,tt0113125,From the Journals of Jean Seberg,01 Mar 1996,1995,"Documentary, Biography",7.1,"Mary Beth Hurt, Jean Seberg",2 wins & 1 nomination.,USA,English,
5757,tt0113756,Man of the Year,15 Mar 1996,1995,"Comedy, Romance",6.1,"Vivian Paxton, Claudette Sutherland, Michael Ornstein, Cal Bartlett",,"USA, UK","English, Yiddish",
9302,tt0118055,Up Close & Personal,01 Mar 1996,1996,"Drama, Romance",6.1,"Robert Redford, Michelle Pfeiffer, Stockard Channing, Joe Mantegna",Nominated for 1 Oscar. Another 3 wins & 2 nominations.,USA,English,51045801.0
11000,tt0115685,The Birdcage,08 Mar 1996,1996,Comedy,7.0,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,USA,English,123986682.0
249882,tt0113200,Gospa,13 Oct 1995,1995,Drama,5.1,"Martin Sheen, Michael York, Morgan Fairchild, Paul Guilfoyle",1 win.,"Croatia, Canada, USA","Serbo-Croatian, Croatian, English",381804.0
16388,tt0112585,The Brothers McMullen,09 Aug 1995,1995,"Comedy, Drama, Romance",6.6,"Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton",4 wins & 1 nomination.,USA,English,10246600.0
9737,tt0112442,Bad Boys,07 Apr 1995,1995,"Action, Comedy, Crime",6.8,"Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro",1 win & 3 nominations.,USA,English,65807024.0
30765,tt0112342,The Amazing Panda Adventure,25 Aug 1995,1995,"Family, Adventure, Drama",5.8,"Stephen Lang, Ryan Slater, Yi Ding, Wang Fei",3 nominations.,USA,English,7506759.0
10474,tt0112461,The Basketball Diaries,21 Apr 1995,1995,"Biography, Crime, Drama",7.3,"Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol, James Madio",,USA,English,2424439.0
30157,tt0109093,Amateur,19 May 1995,1994,"Comedy, Crime, Drama",7.0,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young",1 win & 2 nominations.,"USA, UK, France",English,856422.0
568,tt0112384,Apollo 13,30 Jun 1995,1995,"Adventure, Drama, History",7.6,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Won 2 Oscars. Another 24 wins & 49 nominations.,USA,English,172071312.0
11780,tt0114287,Rob Roy,14 Apr 1995,1995,"Adventure, Biography, History",6.9,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"USA, UK",English,31600000.0
34996,tt0112288,The Addiction,06 Oct 1995,1995,Horror,6.4,"Lili Taylor, Christopher Walken, Annabella Sciorra, Edie Falco",5 wins & 4 nominations.,"USA, Argentina",English,302393.0
414,tt0112462,Batman Forever,16 Jun 1995,1995,"Action, Adventure, Fantasy",5.4,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",Nominated for 3 Oscars. Another 9 wins & 21 nominations.,USA,English,184031112.0
1873,tt0112495,Beyond Rangoon,25 Aug 1995,1995,"Action, Drama",6.6,"Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray",2 wins & 3 nominations.,"UK, USA",English,5750110.0
5894,tt0112541,Blue in the Face,13 Oct 1995,1995,Comedy,6.7,"Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham",2 nominations.,USA,English,1275999.0
1775,tt0109370,Canadian Bacon,22 Sep 1995,1995,Comedy,5.9,"John Candy, Alan Alda, Rhea Perlman, Kevin Pollak",,USA,English,178104.0
8839,tt0112642,Casper,26 May 1995,1995,"Comedy, Family, Fantasy",6.0,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty",4 wins & 5 nominations.,USA,English,100328194.0
20649,tt0112688,Clockers,13 Sep 1995,1995,"Crime, Drama, Mystery",6.9,"Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer",6 nominations.,USA,English,13040603.0
10329,tt0112715,Congo,09 Jun 1995,1995,"Action, Adventure, Mystery",5.1,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry",2 wins & 11 nominations.,USA,"English, American Sign Language",81022333.0
8963,tt0112740,Crimson Tide,12 May 1995,1995,"Action, Drama, Thriller",7.3,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",Nominated for 3 Oscars. Another 5 wins & 6 nominations.,USA,English,91400000.0
26564,tt0109508,Crumb,28 Apr 1995,1994,"Documentary, Biography, Comedy",8.0,"Robert Crumb, Aline Kominsky, Charles Crumb, Maxon Crumb",16 wins & 5 nominations.,USA,English,3174695.0
