TMDB ID,IMDB ID,TITLE,YEAR,GENRE,RATING,RELEASED,ACTORS,AWARDS,COUNTRY,LANGUAGE
1710,tt0112722,Copycat,1995,"Crime, Drama, Mystery",6.6,27 Oct 1995,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",2 wins & 1 nomination.,USA,English
9691,tt0112401,Assassins,1995,"Action, Crime, Thriller",6.3,06 Oct 1995,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",1 win & 1 nomination.,"France, USA","English, Dutch, Spanish"
12665,tt0114168,Powder,1995,"Drama, Fantasy, Mystery",6.5,27 Oct 1995,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",1 win & 1 nomination.,USA,English
451,tt0113627,Leaving Las Vegas,1995,"Drama, Romance",7.6,09 Feb 1996,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",Won 1 Oscar. Another 30 wins & 27 nominations.,USA,"English, Russian"
16420,tt0114057,Othello,1995,"Drama, Romance",7.0,19 Jan 1996,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",3 nominations.,"USA, UK",English
9263,tt0114011,Now and Then,1995,"Comedy, Drama, Romance",6.8,20 Oct 1995,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",1 nomination.,USA,English
17015,tt0114117,Persuasion,1995,"Drama, Romance",7.7,27 Sep 1995,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",7 wins & 2 nominations.,"UK, USA, France",English
9909,tt0112792,Dangerous Minds,1995,"Biography, Drama",6.4,11 Aug 1995,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",5 wins & 6 nominations.,USA,English
63,tt0114746,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",8.0,05 Jan 1996,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Nominated for 2 Oscars. Another 9 wins & 18 nominations.,USA,"English, French"
78802,tt0114952,Wings of Courage,1995,"Adventure, Romance",6.5,18 Sep 1996,"Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer",,"USA, France",English
9598,tt0112431,Babe,1995,"Comedy, Drama, Family",6.8,04 Aug 1995,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Won 1 Oscar. Another 18 wins & 24 nominations.,"Australia, USA",English
687,tt0112818,Dead Man Walking,1995,"Crime, Drama",7.6,02 Feb 1996,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",Won 1 Oscar. Another 20 wins & 19 nominations.,"UK, USA",English
139405,tt0112286,Across the Sea of Time,1995,"Adventure, Drama, Family",6.4,20 Oct 1995,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach",,USA,"English, Russian"
33689,tt0113442,It Takes Two,1995,"Comedy, Family, Romance",5.7,17 Nov 1995,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",1 win & 3 nominations.,USA,English
9603,tt0112697,Clueless,1995,"Comedy, Romance",6.8,19 Jul 1995,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",6 wins & 11 nominations.,USA,"English, Spanish"
34615,tt0112749,"Cry, the Beloved Country",1995,"Drama, Thriller",6.9,15 Dec 1995,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",1 win & 4 nominations.,"South Africa, USA",English
31174,tt0114279,Richard III,1995,"Drama, War",7.5,29 Dec 1995,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.",Nominated for 2 Oscars. Another 7 wins & 10 nominations.,"UK, USA",English
11443,tt0112819,Dead Presidents,1995,"Action, Crime, Drama",6.8,06 Oct 1995,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",2 nominations.,USA,English
35196,tt0114272,Restoration,1995,"Biography, Drama, History",6.7,02 Feb 1996,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",Won 2 Oscars. Another 2 nominations.,"USA, UK","English, Latin"
9312,tt0113855,Mortal Kombat,1995,"Action, Adventure, Fantasy",5.8,18 Aug 1995,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",1 win & 3 nominations.,USA,English
577,tt0114681,To Die For,1995,"Comedy, Crime, Drama",6.8,06 Oct 1995,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",Won 1 Golden Globe. Another 6 wins & 12 nominations.,"USA, UK, Canada",English
11861,tt0113347,How to Make an American Quilt,1995,"Comedy, Drama, Romance",6.2,06 Oct 1995,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",4 nominations.,USA,English
807,tt0114369,Se7en,1995,"Crime, Drama, Mystery",8.6,22 Sep 1995,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa",Nominated for 1 Oscar. Another 25 wins & 34 nominations.,USA,English
10530,tt0114148,Pocahontas,1995,"Animation, Adventure, Drama",6.7,23 Jun 1995,"Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers",Won 2 Oscars. Another 13 wins & 6 nominations.,USA,"English, Algonquin"
629,tt0114814,The Usual Suspects,1995,"Crime, Drama, Mystery",8.6,15 Sep 1995,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Won 2 Oscars. Another 32 wins & 16 nominations.,"USA, Germany","English, Hungarian, Spanish, French"
117164,tt0109950,Guardian Angel,1994,"Action, Drama, Thriller",4.8,22 Nov 1994,"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague",,USA,English
11448,tt0113819,Mighty Aphrodite,1995,"Comedy, Fantasy, Romance",7.1,10 Nov 1995,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",Won 1 Oscar. Another 11 wins & 11 nominations.,USA,"English, Latin"
26441,tt0112499,The Big Green,1995,"Comedy, Family, Sport",5.5,29 Sep 1995,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",,USA,English
97406,tt0113158,Georgia,1995,"Drama, Music",6.5,08 Dec 1995,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich",Nominated for 1 Oscar. Another 4 wins & 6 nominations.,"USA, France","English, Hebrew"
124057,tt0113541,Kids of the Round Table,1995,"Adventure, Comedy, Family",5.0,15 Dec 1995,"Johnny Morina, Maggie Castle, Christopher Olscamp, Justin Borntraeger",2 nominations.,"USA, Canada",English
9089,tt0113321,Home for the Holidays,1995,"Comedy, Drama, Romance",6.6,03 Nov 1995,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",2 nominations.,USA,English
11359,tt0113419,The Indian in the Cupboard,1995,"Drama, Family, Fantasy",5.9,14 Jul 1995,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",1 win & 6 nominations.,USA,English
17182,tt0116260,Eye for an Eye,1996,"Crime, Drama, Thriller",6.1,12 Jan 1996,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",,USA,"English, French, Spanish, Korean"
2054,tt0113862,Mr. Holland's Opus,1995,"Drama, Music",7.3,19 Jan 1996,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",Nominated for 1 Oscar. Another 5 wins & 4 nominations.,USA,"English, American Sign Language"
10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"Comedy, Crime",6.6,12 Jan 1996,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer",1 nomination.,USA,"English, Spanish"
19760,tt0118002,Two If by Sea,1996,"Comedy, Crime, Romance",5.2,12 Jan 1996,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",,USA,English
9536,tt0115683,Bio-Dome,1996,Comedy,4.4,12 Jan 1996,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",1 win & 1 nomination.,USA,English
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,"Action, Sci-Fi, Thriller",2.4,12 Jan 1996,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget",1 nomination.,USA,English
40628,tt0114753,Two Bits,1995,Drama,6.3,22 Nov 1995,"Jerry Barone, Mary Elizabeth Mastrantonio, Al Pacino, Patrick Borriello",2 nominations.,USA,English
10634,tt0113118,Friday,1995,"Comedy, Drama",7.3,26 Apr 1995,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister",1 win & 5 nominations.,USA,English
755,tt0116367,From Dusk Till Dawn,1996,"Action, Crime, Horror",7.3,19 Jan 1996,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis",4 wins & 9 nominations.,USA,"English, Spanish"
11859,tt0113010,Fair Game,1995,"Action, Crime, Romance",4.1,03 Nov 1995,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald",4 nominations.,USA,"English, Russian"
28387,tt0113537,Kicking and Screaming,1995,"Comedy, Drama, Romance",7.0,06 Oct 1995,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach",1 nomination.,USA,English
20927,tt0115644,Bed of Roses,1996,"Romance, Drama",6.1,26 Jan 1996,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin",,USA,English
36929,tt0115676,Big Bully,1996,"Comedy, Thriller",4.5,26 Jan 1996,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane",3 wins.,USA,English
9102,tt0114367,Screamers,1995,"Sci-Fi, Thriller",6.4,26 Jan 1996,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer",3 nominations.,"Canada, USA, Japan",English
124626,tt0113973,Nico Icon,1995,"Documentary, Biography, Music",7.3,16 Nov 1995,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne",4 wins.,"Germany, USA","English, German"
27526,tt0112744,The Crossing Guard,1995,"Drama, Thriller",6.3,16 Nov 1995,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",Nominated for 1 Golden Globe. Another 3 nominations.,USA,English
9623,tt0116731,The Juror,1996,"Drama, Thriller",5.6,02 Feb 1996,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche",1 win & 2 nominations.,USA,English
400,tt0114660,Things to Do in Denver When You're Dead,1995,"Crime, Drama",6.8,01 Dec 1995,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",2 wins.,USA,English
146599,tt0114039,Once Upon a Time... When We Were Colored,1995,"Drama, Romance",7.2,26 Jan 1996,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",2 wins & 2 nominations.,USA,English
188588,tt0113612,Last Summer in the Hamptons,1995,"Comedy, Drama",6.1,15 Sep 1996,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher",1 nomination.,USA,English
8447,tt0112365,Angels and Insects,1995,"Drama, Romance",7.0,26 Jan 1996,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"UK, USA",English
10534,tt0118158,White Squall,1996,"Adventure, Drama",6.6,02 Feb 1996,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",1 nomination.,"USA, UK","English, Danish, Spanish"
17414,tt0116151,Dunston Checks In,1996,"Comedy, Adventure, Family",5.3,12 Jan 1996,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",4 nominations.,USA,"English, French"
13997,tt0115697,Black Sheep,1996,Comedy,6.2,02 Feb 1996,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",,USA,English
2086,tt0113972,Nick of Time,1995,"Action, Crime, Drama",6.3,22 Nov 1995,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken",,USA,English
61548,tt0113490,The Journey of August King,1995,Drama,6.6,26 Jan 1996,"Jason Patric, Thandie Newton, Larry Drake, Sam Waterston",,USA,English
9095,tt0117002,Mary Reilly,1996,"Drama, Horror, Romance",5.8,23 Feb 1996,"Julia Roberts, John Malkovich, George Cole, Michael Gambon",6 nominations.,"USA, UK",English
12158,tt0114825,Vampire in Brooklyn,1995,"Comedy, Fantasy, Horror",4.5,27 Oct 1995,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",,USA,English
9283,tt0115639,Beautiful Girls,1996,"Comedy, Drama, Romance",7.2,09 Feb 1996,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",1 win & 3 nominations.,USA,English
9208,tt0115759,Broken Arrow,1996,"Action, Crime, Thriller",6.0,09 Feb 1996,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",1 win & 3 nominations.,USA,English
63076,tt0113283,Heidi Fleiss: Hollywood Madam,1995,"Documentary, Biography",6.6,09 Feb 1996,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer",1 nomination.,"UK, Germany, USA, Canada",English
11062,tt0115907,City Hall,1996,Drama,6.2,16 Feb 1996,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",1 nomination.,USA,English
13685,tt0115734,Bottle Rocket,1996,"Comedy, Crime, Drama",7.1,21 Feb 1996,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",2 wins.,USA,"English, Spanish"
47475,tt0117102,Mr. Wrong,1996,Comedy,3.8,16 Feb 1996,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell",2 nominations.,USA,English
2045,tt0118040,Unforgettable,1996,"Drama, Mystery, Sci-Fi",6.0,23 Feb 1996,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald",1 win.,USA,"English, Spanish"
9614,tt0116483,Happy Gilmore,1996,"Comedy, Family, Sport",7.0,16 Feb 1996,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",1 win & 4 nominations.,USA,English
688,tt0112579,The Bridges of Madison County,1995,"Drama, Romance",7.5,02 Jun 1995,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",Nominated for 1 Oscar. Another 6 wins & 14 nominations.,USA,English
10874,tt0117110,Muppet Treasure Island,1996,"Action, Adventure, Comedy",6.9,16 Feb 1996,"Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop",4 nominations.,USA,English
89333,tt0112646,Catwalk,1995,Documentary,6.5,16 May 1996,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann",,USA,English
96357,tt0113276,Headless Body in Topless Bar,1995,"Comedy, Crime, Drama",4.7,16 Feb 1996,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald, Taylor Nichols",,USA,English
197,tt0112573,Braveheart,1995,"Biography, Drama, History",8.4,24 May 1995,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",Won 5 Oscars. Another 26 wins & 29 nominations.,USA,"English, French, Latin, Scottish Gaelic"
43566,tt0115645,Before and After,1996,"Crime, Drama, Mystery",6.1,23 Feb 1996,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon",,USA,English
51352,tt0112373,Anne Frank Remembered,1995,"Documentary, Biography, War",8.1,08 Jun 1995,"Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema",Won 1 Oscar. Another 8 wins & 5 nominations.,"UK, USA, Netherlands",English
10324,tt0116606,If Lucy Fell,1996,"Comedy, Romance",4.9,08 Mar 1996,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson",,USA,English
78406,tt0114536,Steal Big Steal Little,1995,Comedy,4.8,29 Sep 1995,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano",,USA,English
55731,tt0117427,Race the Sun,1996,"Adventure, Comedy, Drama",5.3,22 Mar 1996,"Halle Berry, Jim Belushi, Bill Hunter, Casey Affleck",,USA,"English, Hawaiian, Russian"
11066,tt0103859,Boomerang,1992,"Comedy, Drama, Romance",5.4,01 Jul 1992,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",1 win & 4 nominations.,USA,"English, French"
2074,tt0116324,Flirting with Disaster,1996,Comedy,6.8,12 Apr 1996,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore",1 win & 10 nominations.,USA,English
27793,tt0110647,The Neverending Story III,1994,"Adventure, Comedy, Family",3.1,27 Oct 1994,"Jason James Richter, Melody Kay, Jack Black, Carole Finn",1 nomination.,"Germany, USA",English
290157,tt0110217,Jupiter's Wife,1995,"Documentary, Biography, Mystery",7.2,08 Sep 1995,"Maggie Cogan, Katina Pendleton",3 wins & 1 nomination.,USA,English
110972,tt0114131,Pie in the Sky,1996,"Comedy, Romance",5.8,09 Feb 1996,"Josh Charles, Anne Heche, John Goodman, Christine Lahti",,USA,English
32622,tt0112364,Angela,1995,Drama,6.5,01 Jan 1995,"Miranda Rhyne, Charlotte Eve Blythe, Anna Levine, John Ventimiglia",4 wins & 1 nomination.,USA,English
73067,tt0113107,Frankie Starlight,1995,"Drama, Romance, War",6.7,22 Nov 1995,"Corban Walker, Niall Toibin, Owen Roe, Gabriel Byrne",,"France, UK, Ireland, USA",English
11863,tt0113451,Jade,1995,"Crime, Drama, Thriller",5.2,13 Oct 1995,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna",2 nominations.,USA,English
124636,tt0114500,Sonic Outlaws,1995,Documentary,7.3,01 Aug 1995,"Lloyd Dunn, Chris Grigg, Mark Hosler, Don Joyce",1 win.,USA,English
9101,tt0116130,Down Periscope,1996,Comedy,6.0,01 Mar 1996,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",,USA,English
123360,tt0113125,From the Journals of Jean Seberg,1995,"Documentary, Biography",7.1,01 Mar 1996,"Mary Beth Hurt, Jean Seberg",2 wins & 1 nomination.,USA,English
5757,tt0113756,Man of the Year,1995,"Comedy, Romance",6.1,15 Mar 1996,"Vivian Paxton, Claudette Sutherland, Michael Ornstein, Cal Bartlett",,"USA, UK","English, Yiddish"
9302,tt0118055,Up Close & Personal,1996,"Drama, Romance",6.1,01 Mar 1996,"Robert Redford, Michelle Pfeiffer, Stockard Channing, Joe Mantegna",Nominated for 1 Oscar. Another 3 wins & 2 nominations.,USA,English
11000,tt0115685,The Birdcage,1996,Comedy,7.0,08 Mar 1996,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,USA,English
249882,tt0113200,Gospa,1995,Drama,5.1,13 Oct 1995,"Martin Sheen, Michael York, Morgan Fairchild, Paul Guilfoyle",1 win.,"Croatia, Canada, USA","Serbo-Croatian, Croatian, English"
16388,tt0112585,The Brothers McMullen,1995,"Comedy, Drama, Romance",6.6,09 Aug 1995,"Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton",4 wins & 1 nomination.,USA,English
9737,tt0112442,Bad Boys,1995,"Action, Comedy, Crime",6.8,07 Apr 1995,"Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro",1 win & 3 nominations.,USA,English
30765,tt0112342,The Amazing Panda Adventure,1995,"Family, Adventure, Drama",5.8,25 Aug 1995,"Stephen Lang, Ryan Slater, Yi Ding, Wang Fei",3 nominations.,USA,English
10474,tt0112461,The Basketball Diaries,1995,"Biography, Crime, Drama",7.3,21 Apr 1995,"Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol, James Madio",,USA,English
30157,tt0109093,Amateur,1994,"Comedy, Crime, Drama",7.0,19 May 1995,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young",1 win & 2 nominations.,"USA, UK, France",English
568,tt0112384,Apollo 13,1995,"Adventure, Drama, History",7.6,30 Jun 1995,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Won 2 Oscars. Another 24 wins & 49 nominations.,USA,English
11780,tt0114287,Rob Roy,1995,"Adventure, Biography, History",6.9,14 Apr 1995,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"USA, UK",English
34996,tt0112288,The Addiction,1995,Horror,6.4,06 Oct 1995,"Lili Taylor, Christopher Walken, Annabella Sciorra, Edie Falco",5 wins & 4 nominations.,"USA, Argentina",English
414,tt0112462,Batman Forever,1995,"Action, Adventure, Fantasy",5.4,16 Jun 1995,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",Nominated for 3 Oscars. Another 9 wins & 21 nominations.,USA,English
1873,tt0112495,Beyond Rangoon,1995,"Action, Drama",6.6,25 Aug 1995,"Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray",2 wins & 3 nominations.,"UK, USA",English
5894,tt0112541,Blue in the Face,1995,Comedy,6.7,13 Oct 1995,"Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham",2 nominations.,USA,English
1775,tt0109370,Canadian Bacon,1995,Comedy,5.9,22 Sep 1995,"John Candy, Alan Alda, Rhea Perlman, Kevin Pollak",,USA,English
8839,tt0112642,Casper,1995,"Comedy, Family, Fantasy",6.0,26 May 1995,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty",4 wins & 5 nominations.,USA,English
20649,tt0112688,Clockers,1995,"Crime, Drama, Mystery",6.9,13 Sep 1995,"Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer",6 nominations.,USA,English
10329,tt0112715,Congo,1995,"Action, Adventure, Mystery",5.1,09 Jun 1995,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry",2 wins & 11 nominations.,USA,"English, American Sign Language"
8963,tt0112740,Crimson Tide,1995,"Action, Drama, Thriller",7.3,12 May 1995,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",Nominated for 3 Oscars. Another 5 wins & 6 nominations.,USA,English
26564,tt0109508,Crumb,1994,"Documentary, Biography, Comedy",8.0,28 Apr 1995,"Robert Crumb, Aline Kominsky, Charles Crumb, Maxon Crumb",16 wins & 5 nominations.,USA,English
8068,tt0112851,Desperado,1995,"Action, Thriller",7.2,25 Aug 1995,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin",1 win & 4 nominations.,USA,English
8512,tt0112857,Devil in a Blue Dress,1995,"Crime, Drama, Mystery",6.7,29 Sep 1995,"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle",3 wins & 13 nominations.,USA,English
1572,tt0112864,Die Hard with a Vengeance,1995,"Action, Adventure, Thriller",7.6,19 May 1995,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",2 wins & 3 nominations.,USA,"English, German, Romanian"
13552,tt0112887,The Doom Generation,1995,"Action, Comedy, Crime",5.9,27 Oct 1995,"James Duval, Rose McGowan, Johnathon Schaech, Cress Williams",1 nomination.,"USA, France",English
259209,tt0113044,Feast of July,1995,"Crime, Drama, Mystery",6.4,13 Oct 1995,"Embeth Davidtz, Tom Bell, Gemma Jones, James Purefoy",,"USA, UK",English
6520,tt0113071,First Knight,1995,"Action, Adventure, Romance",5.9,07 Jul 1995,"Sean Connery, Richard Gere, Julia Ormond, Ben Cross",,"USA, UK",English
9073,tt0113114,Free Willy 2: The Adventure Home,1995,"Adventure, Drama, Family",4.9,19 Jul 1995,"Jason James Richter, Francis Capra, Mary Kate Schellhardt, August Schellenberg",1 win & 2 nominations.,"France, USA","English, Malay, Indonesian"
